dataset_id,persona_id,statement,categories
conversation_4_user_1,4be7816a63f5704b101e44b9c3adf4f2f42647149882ef1f6d0610e91df4bdde,I like to swim.,Preferences_Interests
conversation_4_user_1,4be7816a63f5704b101e44b9c3adf4f2f42647149882ef1f6d0610e91df4bdde,My favorite drink is chocolate milk.,Preferences_Interests
conversation_4_user_1,4be7816a63f5704b101e44b9c3adf4f2f42647149882ef1f6d0610e91df4bdde,I don t work.,Personal_Background
conversation_4_user_2,77dde7a057ce5731bea19d56a341ca987e6a6470e19e12d9aafc6aff72860dcf,My favorite store is american eagle.,Demographics
conversation_4_user_2,77dde7a057ce5731bea19d56a341ca987e6a6470e19e12d9aafc6aff72860dcf,I enjoy spending time with my family.,Personal_Background
conversation_4_user_2,77dde7a057ce5731bea19d56a341ca987e6a6470e19e12d9aafc6aff72860dcf,I love to go running.,"Preferences_Interests, Personality_Traits"
conversation_4_user_2,77dde7a057ce5731bea19d56a341ca987e6a6470e19e12d9aafc6aff72860dcf,I do not like vegetables.,Preferences_Interests
conversation_5_user_1,9c2b74aaec5597fd6d77f075a96c00c796a50950a48533bc81242a2d582edbfc,I am male.,Demographics
conversation_5_user_1,9c2b74aaec5597fd6d77f075a96c00c796a50950a48533bc81242a2d582edbfc,I like potatoes.,Preferences_Interests
conversation_5_user_1,9c2b74aaec5597fd6d77f075a96c00c796a50950a48533bc81242a2d582edbfc,I work in accounting.,Personal_Background
conversation_5_user_1,9c2b74aaec5597fd6d77f075a96c00c796a50950a48533bc81242a2d582edbfc,I lease my car.,Uncategorized
conversation_5_user_2,aaafe036395f133fc5a0aa4423020c4dea1ed321a7c515c47f98cef0a4c4eb70,I am 10 years old.,Demographics
conversation_5_user_2,aaafe036395f133fc5a0aa4423020c4dea1ed321a7c515c47f98cef0a4c4eb70,I like to watch tv.,Preferences_Interests
conversation_5_user_2,aaafe036395f133fc5a0aa4423020c4dea1ed321a7c515c47f98cef0a4c4eb70,My name is arnold.,Uncategorized
conversation_5_user_2,aaafe036395f133fc5a0aa4423020c4dea1ed321a7c515c47f98cef0a4c4eb70,I love ham and cheese sandwiches.,Personality_Traits
conversation_6_user_1,d8a7b09557614e9a8815cf54694f13e9ade9a05e2e8f21f5604a0e1f7a68be24,I am male.,Demographics
conversation_6_user_1,d8a7b09557614e9a8815cf54694f13e9ade9a05e2e8f21f5604a0e1f7a68be24,I like potatoes.,Preferences_Interests
conversation_6_user_1,d8a7b09557614e9a8815cf54694f13e9ade9a05e2e8f21f5604a0e1f7a68be24,I work in accounting.,Personal_Background
conversation_6_user_1,d8a7b09557614e9a8815cf54694f13e9ade9a05e2e8f21f5604a0e1f7a68be24,I lease my car.,Uncategorized
conversation_6_user_2,dd7f324d967a729371edd2841976dc4c16d1755713a44a4753ce2b238b057e01,I volunteer at animal shelters.,Uncategorized
conversation_6_user_2,dd7f324d967a729371edd2841976dc4c16d1755713a44a4753ce2b238b057e01,I am a terrible speller.,Personality_Traits
conversation_6_user_2,dd7f324d967a729371edd2841976dc4c16d1755713a44a4753ce2b238b057e01,I am an amazing dancer.,Personality_Traits
conversation_6_user_2,dd7f324d967a729371edd2841976dc4c16d1755713a44a4753ce2b238b057e01,Country music makes me cringe.,Preferences_Interests
conversation_6_user_2,dd7f324d967a729371edd2841976dc4c16d1755713a44a4753ce2b238b057e01,I have blonde hair that reaches my knees.,Uncategorized
conversation_7_user_1,f5c26c081d50dadd003f9d79ef1ea3b0f5051dd85a923f2d4ee033a886a12811,I am male.,Demographics
conversation_7_user_1,f5c26c081d50dadd003f9d79ef1ea3b0f5051dd85a923f2d4ee033a886a12811,My weakness are sweets.,Uncategorized
conversation_7_user_1,f5c26c081d50dadd003f9d79ef1ea3b0f5051dd85a923f2d4ee033a886a12811,I am unsociable.,Personality_Traits
conversation_7_user_1,f5c26c081d50dadd003f9d79ef1ea3b0f5051dd85a923f2d4ee033a886a12811,"I am a jack of all , master of none.",Personality_Traits
conversation_7_user_2,babe1e277b98f15c3b6b903f513532b1578d9e7c473f507b5081198e810b0a25,My favorite music is rock and roll.,Preferences_Interests
conversation_7_user_2,babe1e277b98f15c3b6b903f513532b1578d9e7c473f507b5081198e810b0a25,I love to travel.,"Preferences_Interests, Personality_Traits"
conversation_7_user_2,babe1e277b98f15c3b6b903f513532b1578d9e7c473f507b5081198e810b0a25,I am from russia.,Demographics
conversation_7_user_2,babe1e277b98f15c3b6b903f513532b1578d9e7c473f507b5081198e810b0a25,I enjoy skiing.,Preferences_Interests
conversation_7_user_2,babe1e277b98f15c3b6b903f513532b1578d9e7c473f507b5081198e810b0a25,I go to school for business.,Personal_Background
conversation_8_user_1,c069196f5e80f4f64d2b81926dce6c6260a4442c8eda1040c7a714f237bcd320,I am male.,Demographics
conversation_8_user_1,c069196f5e80f4f64d2b81926dce6c6260a4442c8eda1040c7a714f237bcd320,My weakness are sweets.,Uncategorized
conversation_8_user_1,c069196f5e80f4f64d2b81926dce6c6260a4442c8eda1040c7a714f237bcd320,I am unsociable.,Personality_Traits
conversation_8_user_1,c069196f5e80f4f64d2b81926dce6c6260a4442c8eda1040c7a714f237bcd320,I live to not disappoint my loved ones.,Demographics
conversation_8_user_1,c069196f5e80f4f64d2b81926dce6c6260a4442c8eda1040c7a714f237bcd320,"I am a jack of all , master of none.",Personality_Traits
conversation_8_user_2,ebb24f6488ef630f3b8686d1b6732b481fde4c642c5a9361cab0e8971831a228,I live in north dakota.,Demographics
conversation_8_user_2,ebb24f6488ef630f3b8686d1b6732b481fde4c642c5a9361cab0e8971831a228,I work as a waitress.,Personal_Background
conversation_8_user_2,ebb24f6488ef630f3b8686d1b6732b481fde4c642c5a9361cab0e8971831a228,I ride a bike.,Preferences_Interests
conversation_8_user_2,ebb24f6488ef630f3b8686d1b6732b481fde4c642c5a9361cab0e8971831a228,I like to draw.,Preferences_Interests
conversation_8_user_2,ebb24f6488ef630f3b8686d1b6732b481fde4c642c5a9361cab0e8971831a228,I have 5 brothers and sisters.,Personal_Background
conversation_9_user_1,d47ba35993769b1e4a24fa8220aaee7161e3c3d16647039b6d4cdcb0532e0ad1,I am male.,Demographics
conversation_9_user_1,d47ba35993769b1e4a24fa8220aaee7161e3c3d16647039b6d4cdcb0532e0ad1,I live to not disappoint my loved ones.,Demographics
conversation_9_user_1,d47ba35993769b1e4a24fa8220aaee7161e3c3d16647039b6d4cdcb0532e0ad1,I am unsociable.,Personality_Traits
conversation_9_user_1,d47ba35993769b1e4a24fa8220aaee7161e3c3d16647039b6d4cdcb0532e0ad1,"I am a jack of all , master of none.",Personality_Traits
conversation_9_user_1,d47ba35993769b1e4a24fa8220aaee7161e3c3d16647039b6d4cdcb0532e0ad1,My weakness are sweets.,Uncategorized
conversation_9_user_2,5dedfc9d4298d5744116682a34b19e187645c2be8f2a9087d95f8a8967b8bdf0,My favorite meal is steak.,Preferences_Interests
conversation_9_user_2,5dedfc9d4298d5744116682a34b19e187645c2be8f2a9087d95f8a8967b8bdf0,I always travel alone.,Preferences_Interests
conversation_9_user_2,5dedfc9d4298d5744116682a34b19e187645c2be8f2a9087d95f8a8967b8bdf0,I only sleep 3 hours a day.,Habits_Routines
conversation_9_user_2,5dedfc9d4298d5744116682a34b19e187645c2be8f2a9087d95f8a8967b8bdf0,I am incredibly smart.,Personality_Traits
conversation_9_user_2,5dedfc9d4298d5744116682a34b19e187645c2be8f2a9087d95f8a8967b8bdf0,I have no parents or siblings.,Personal_Background
conversation_10_user_1,5d0a1e8ac9cfd7961a9cde5c9848de696cd73e533ac776439c0afc7dfc3e0216,I am male.,Demographics
conversation_10_user_1,5d0a1e8ac9cfd7961a9cde5c9848de696cd73e533ac776439c0afc7dfc3e0216,I live to not disappoint my loved ones.,Demographics
conversation_10_user_1,5d0a1e8ac9cfd7961a9cde5c9848de696cd73e533ac776439c0afc7dfc3e0216,My weakness are sweets.,Uncategorized
conversation_10_user_1,5d0a1e8ac9cfd7961a9cde5c9848de696cd73e533ac776439c0afc7dfc3e0216,"I am a jack of all , master of none.",Personality_Traits
conversation_10_user_1,5d0a1e8ac9cfd7961a9cde5c9848de696cd73e533ac776439c0afc7dfc3e0216,I am unsociable.,Personality_Traits
conversation_10_user_2,58803dbccc3a0f122c94f0d5a175628eeacaccd61f356adcab16fba4cc395aa8,I enjoy going to festivals.,Preferences_Interests
conversation_10_user_2,58803dbccc3a0f122c94f0d5a175628eeacaccd61f356adcab16fba4cc395aa8,I recently started working online.,Uncategorized
conversation_10_user_2,58803dbccc3a0f122c94f0d5a175628eeacaccd61f356adcab16fba4cc395aa8,I eat meat.,Preferences_Interests
conversation_10_user_2,58803dbccc3a0f122c94f0d5a175628eeacaccd61f356adcab16fba4cc395aa8,My favorite band is the story so far.,Preferences_Interests
conversation_11_user_1,7d0d39450b80bda48d8b01b4274011c81c4eddf0bb157003bc87c80c4297f6c5,I am male.,Demographics
conversation_11_user_1,7d0d39450b80bda48d8b01b4274011c81c4eddf0bb157003bc87c80c4297f6c5,I live to not disappoint my loved ones.,Demographics
conversation_11_user_1,7d0d39450b80bda48d8b01b4274011c81c4eddf0bb157003bc87c80c4297f6c5,"I am a jack of all , master of none.",Personality_Traits
conversation_11_user_1,7d0d39450b80bda48d8b01b4274011c81c4eddf0bb157003bc87c80c4297f6c5,My weakness are sweets.,Uncategorized
conversation_11_user_2,08f9f3300c5ca2711436014958932bb8d9c470235d16d44f8a3558273b6c6da8,I own a ford truck.,Uncategorized
conversation_11_user_2,08f9f3300c5ca2711436014958932bb8d9c470235d16d44f8a3558273b6c6da8,My truck is black.,Uncategorized
conversation_11_user_2,08f9f3300c5ca2711436014958932bb8d9c470235d16d44f8a3558273b6c6da8,I have a ford f150.,Uncategorized
conversation_11_user_2,08f9f3300c5ca2711436014958932bb8d9c470235d16d44f8a3558273b6c6da8,I also like ford trucks.,Preferences_Interests
conversation_12_user_1,847fbb3d030400e4bf3ea07023dd42c220370e4067cebf7b3359f5044a2e1fd4,I am tall.,Personality_Traits
conversation_12_user_1,847fbb3d030400e4bf3ea07023dd42c220370e4067cebf7b3359f5044a2e1fd4,I like to garden.,Preferences_Interests
conversation_12_user_1,847fbb3d030400e4bf3ea07023dd42c220370e4067cebf7b3359f5044a2e1fd4,I love the outdoors.,Personality_Traits
conversation_12_user_1,847fbb3d030400e4bf3ea07023dd42c220370e4067cebf7b3359f5044a2e1fd4,I like to build things.,Preferences_Interests
conversation_12_user_1,847fbb3d030400e4bf3ea07023dd42c220370e4067cebf7b3359f5044a2e1fd4,I like to travel.,Preferences_Interests
conversation_12_user_2,cba84db7ddeee7925a078bea1274634a90fba9bcef4cf7e12ede17487c0f802d,I rent an apartment.,Uncategorized
conversation_12_user_2,cba84db7ddeee7925a078bea1274634a90fba9bcef4cf7e12ede17487c0f802d,I live walking distance from work.,"Demographics, Personal_Background"
conversation_12_user_2,cba84db7ddeee7925a078bea1274634a90fba9bcef4cf7e12ede17487c0f802d,I enjoy playing soccer.,Preferences_Interests
conversation_12_user_2,cba84db7ddeee7925a078bea1274634a90fba9bcef4cf7e12ede17487c0f802d,I do not like coffee.,Preferences_Interests
conversation_12_user_2,cba84db7ddeee7925a078bea1274634a90fba9bcef4cf7e12ede17487c0f802d,I work in finance.,Personal_Background
conversation_13_user_1,3662152793c59467ee069d3fdf3586ef19290f16675732d094b188871cb200b7,I am tall.,Personality_Traits
conversation_13_user_1,3662152793c59467ee069d3fdf3586ef19290f16675732d094b188871cb200b7,I like to build things.,Preferences_Interests
conversation_13_user_1,3662152793c59467ee069d3fdf3586ef19290f16675732d094b188871cb200b7,I love the outdoors.,Personality_Traits
conversation_13_user_1,3662152793c59467ee069d3fdf3586ef19290f16675732d094b188871cb200b7,I like to garden.,Preferences_Interests
conversation_13_user_1,3662152793c59467ee069d3fdf3586ef19290f16675732d094b188871cb200b7,I like to travel.,Preferences_Interests
conversation_13_user_2,207e5c150876f9fdf3da7dc2957e0d20afa2c944ee4147a335ad6737ab3e5ec3,My favorite tv show is rick and morty.,Preferences_Interests
conversation_13_user_2,207e5c150876f9fdf3da7dc2957e0d20afa2c944ee4147a335ad6737ab3e5ec3,I am writing a novel.,Preferences_Interests
conversation_13_user_2,207e5c150876f9fdf3da7dc2957e0d20afa2c944ee4147a335ad6737ab3e5ec3,My favorite color is black.,Preferences_Interests
conversation_13_user_2,207e5c150876f9fdf3da7dc2957e0d20afa2c944ee4147a335ad6737ab3e5ec3,I own an iphone.,Uncategorized
conversation_14_user_1,b2ff3bf8fc633a39a9d7552484b9fd6f8069719a4ffed67e995824932864ca39,I am tall.,Personality_Traits
conversation_14_user_1,b2ff3bf8fc633a39a9d7552484b9fd6f8069719a4ffed67e995824932864ca39,I spend my free time volunteering at nursing homes.,Uncategorized
conversation_14_user_1,b2ff3bf8fc633a39a9d7552484b9fd6f8069719a4ffed67e995824932864ca39,I like to water ski.,Preferences_Interests
conversation_14_user_1,b2ff3bf8fc633a39a9d7552484b9fd6f8069719a4ffed67e995824932864ca39,My favorite color is red.,Preferences_Interests
conversation_14_user_2,82b3a3e921d7652449b066a7610c6315db561c5de33434b4754fb668311704d8,My favorite color is red.,Preferences_Interests
conversation_14_user_2,82b3a3e921d7652449b066a7610c6315db561c5de33434b4754fb668311704d8,I live with my parents.,Personal_Background
conversation_14_user_2,82b3a3e921d7652449b066a7610c6315db561c5de33434b4754fb668311704d8,I prefer headsets over earbuds.,Uncategorized
conversation_14_user_2,82b3a3e921d7652449b066a7610c6315db561c5de33434b4754fb668311704d8,I travel often.,Preferences_Interests
conversation_14_user_2,82b3a3e921d7652449b066a7610c6315db561c5de33434b4754fb668311704d8,I ve an iphone.,Uncategorized
conversation_15_user_1,61ff0c5821f6a1a3c51f89885185dbc76d7f41334e0341e90a791b90a6ff1315,I am tall.,Personality_Traits
conversation_15_user_1,61ff0c5821f6a1a3c51f89885185dbc76d7f41334e0341e90a791b90a6ff1315,I spend my free time volunteering at nursing homes.,Uncategorized
conversation_15_user_1,61ff0c5821f6a1a3c51f89885185dbc76d7f41334e0341e90a791b90a6ff1315,My favorite color is red.,Preferences_Interests
conversation_15_user_1,61ff0c5821f6a1a3c51f89885185dbc76d7f41334e0341e90a791b90a6ff1315,My dad was a cop.,Personal_Background
conversation_15_user_1,61ff0c5821f6a1a3c51f89885185dbc76d7f41334e0341e90a791b90a6ff1315,I like to water ski.,Preferences_Interests
conversation_15_user_2,adc3518a1e6d80257a421eae15f242c0691ecdabbaac705a8c2148dd91c98841,I am an older guy.,Personality_Traits
conversation_15_user_2,adc3518a1e6d80257a421eae15f242c0691ecdabbaac705a8c2148dd91c98841,My favorite band is ween.,Preferences_Interests
conversation_15_user_2,adc3518a1e6d80257a421eae15f242c0691ecdabbaac705a8c2148dd91c98841,I love to work in my garden.,"Personal_Background, Personality_Traits"
conversation_15_user_2,adc3518a1e6d80257a421eae15f242c0691ecdabbaac705a8c2148dd91c98841,I like to create art.,Preferences_Interests
conversation_16_user_1,1dfac8221111bafb7ca6071bc532046a92446bcce38426b346909e78572ba53a,I am thin.,Personality_Traits
conversation_16_user_1,1dfac8221111bafb7ca6071bc532046a92446bcce38426b346909e78572ba53a,I like to hunt.,Preferences_Interests
conversation_16_user_1,1dfac8221111bafb7ca6071bc532046a92446bcce38426b346909e78572ba53a,I am blonde.,Personality_Traits
conversation_16_user_1,1dfac8221111bafb7ca6071bc532046a92446bcce38426b346909e78572ba53a,I like the tv show the walking dead.,Preferences_Interests
conversation_16_user_1,1dfac8221111bafb7ca6071bc532046a92446bcce38426b346909e78572ba53a,I love the tigers baseball team.,"Preferences_Interests, Personality_Traits, Social_Relationships"
conversation_16_user_2,008409718d8988ca27ee327ebc54b2e64c7d4ca64e5044b6d3ac907d047cf2f7,I live at home with my dad and brother.,"Demographics, Personal_Background"
conversation_16_user_2,008409718d8988ca27ee327ebc54b2e64c7d4ca64e5044b6d3ac907d047cf2f7,I have a cat.,Uncategorized
conversation_16_user_2,008409718d8988ca27ee327ebc54b2e64c7d4ca64e5044b6d3ac907d047cf2f7,I hope to move out soon.,Goals_Aspirations
conversation_16_user_2,008409718d8988ca27ee327ebc54b2e64c7d4ca64e5044b6d3ac907d047cf2f7,I have depression and anxiety so i don t really go out a lot.,Personality_Traits
conversation_16_user_2,008409718d8988ca27ee327ebc54b2e64c7d4ca64e5044b6d3ac907d047cf2f7,"I work at home , editing.",Personal_Background
conversation_17_user_1,7f962306b2f4a5b43abf2fca38e7b27605bcc6577238fa41a14fd0d2f78ec531,I am thin.,Personality_Traits
conversation_17_user_1,7f962306b2f4a5b43abf2fca38e7b27605bcc6577238fa41a14fd0d2f78ec531,I like to hunt.,Preferences_Interests
conversation_17_user_1,7f962306b2f4a5b43abf2fca38e7b27605bcc6577238fa41a14fd0d2f78ec531,I love the tigers baseball team.,"Preferences_Interests, Personality_Traits, Social_Relationships"
conversation_17_user_1,7f962306b2f4a5b43abf2fca38e7b27605bcc6577238fa41a14fd0d2f78ec531,I am blonde.,Personality_Traits
conversation_17_user_1,7f962306b2f4a5b43abf2fca38e7b27605bcc6577238fa41a14fd0d2f78ec531,I like the tv show the walking dead.,Preferences_Interests
conversation_17_user_2,061695fcffeaf59cfd796925cacf119a8b5f7d0f7225499657f8b7c3bac7aae3,I love animals.,Personality_Traits
conversation_17_user_2,061695fcffeaf59cfd796925cacf119a8b5f7d0f7225499657f8b7c3bac7aae3,"I have a farm with pigs , horses and hens.",Uncategorized
conversation_17_user_2,061695fcffeaf59cfd796925cacf119a8b5f7d0f7225499657f8b7c3bac7aae3,I love country music.,"Preferences_Interests, Personality_Traits"
conversation_17_user_2,061695fcffeaf59cfd796925cacf119a8b5f7d0f7225499657f8b7c3bac7aae3,I love dancing.,Personality_Traits
conversation_17_user_2,061695fcffeaf59cfd796925cacf119a8b5f7d0f7225499657f8b7c3bac7aae3,I am a vegan.,Personality_Traits
conversation_18_user_1,f5c7742914ca9326ed8150a9d512153c26c013352f54e01ee96eeb9e5d9eef9d,I am thin.,Personality_Traits
conversation_18_user_1,f5c7742914ca9326ed8150a9d512153c26c013352f54e01ee96eeb9e5d9eef9d,I like the tv show the walking dead.,Preferences_Interests
conversation_18_user_1,f5c7742914ca9326ed8150a9d512153c26c013352f54e01ee96eeb9e5d9eef9d,I like to hunt.,Preferences_Interests
conversation_18_user_1,f5c7742914ca9326ed8150a9d512153c26c013352f54e01ee96eeb9e5d9eef9d,I love the tigers baseball team.,"Preferences_Interests, Personality_Traits, Social_Relationships"
conversation_18_user_2,6f6983fc04b0a0c1181a27f7eb80fc9b33bcbb029605e1ad999e98232c22025d,"I always seem to be losing things , most recently , my mind.",Habits_Routines
conversation_18_user_2,6f6983fc04b0a0c1181a27f7eb80fc9b33bcbb029605e1ad999e98232c22025d,I enjoy hiking on glaciers.,Preferences_Interests
conversation_18_user_2,6f6983fc04b0a0c1181a27f7eb80fc9b33bcbb029605e1ad999e98232c22025d,Marduk is my favorite band.,Preferences_Interests
conversation_18_user_2,6f6983fc04b0a0c1181a27f7eb80fc9b33bcbb029605e1ad999e98232c22025d,I recently moved to sweden.,Demographics
conversation_19_user_1,bcbdc50ad92132be81615e83116044c51a6e9785bc95374f365d0760e7cd575a,I m dumpy.,Uncategorized
conversation_19_user_1,bcbdc50ad92132be81615e83116044c51a6e9785bc95374f365d0760e7cd575a,I have long fingers.,Uncategorized
conversation_19_user_1,bcbdc50ad92132be81615e83116044c51a6e9785bc95374f365d0760e7cd575a,I can t eat shrimp.,Preferences_Interests
conversation_19_user_1,bcbdc50ad92132be81615e83116044c51a6e9785bc95374f365d0760e7cd575a,Like a skeleton.,Preferences_Interests
conversation_19_user_1,bcbdc50ad92132be81615e83116044c51a6e9785bc95374f365d0760e7cd575a,I have long legs.,Uncategorized
conversation_19_user_2,08f403c8693ce89625ac5277103d9435062faa3296ae866acada3a1fa5dcaea6,I have a twin brother.,Personal_Background
conversation_19_user_2,08f403c8693ce89625ac5277103d9435062faa3296ae866acada3a1fa5dcaea6,My favorite book is david copperfield.,Preferences_Interests
conversation_19_user_2,08f403c8693ce89625ac5277103d9435062faa3296ae866acada3a1fa5dcaea6,I m really short.,Uncategorized
conversation_19_user_2,08f403c8693ce89625ac5277103d9435062faa3296ae866acada3a1fa5dcaea6,I love to bake cakes.,Personality_Traits
conversation_20_user_1,48003ae39ebd3efe5e6ed7374bc7d876ad181ab076efc23ffc5ddfa84bafd45d,I m funny.,Personality_Traits
conversation_20_user_1,48003ae39ebd3efe5e6ed7374bc7d876ad181ab076efc23ffc5ddfa84bafd45d,I can draw.,Preferences_Interests
conversation_20_user_1,48003ae39ebd3efe5e6ed7374bc7d876ad181ab076efc23ffc5ddfa84bafd45d,I have sausage fingers.,Uncategorized
conversation_20_user_1,48003ae39ebd3efe5e6ed7374bc7d876ad181ab076efc23ffc5ddfa84bafd45d,I like sprite soda.,Preferences_Interests
conversation_20_user_2,83e8ed5ea6eaee5e37349d24ef0b1c657bbaa2ef8e4aaa08655949fe6b9a7c9f,I live in vermont.,Demographics
conversation_20_user_2,83e8ed5ea6eaee5e37349d24ef0b1c657bbaa2ef8e4aaa08655949fe6b9a7c9f,I love to hike.,"Preferences_Interests, Personality_Traits"
conversation_20_user_2,83e8ed5ea6eaee5e37349d24ef0b1c657bbaa2ef8e4aaa08655949fe6b9a7c9f,I also like to mountain bike.,Preferences_Interests
conversation_20_user_2,83e8ed5ea6eaee5e37349d24ef0b1c657bbaa2ef8e4aaa08655949fe6b9a7c9f,I have visited 12 national parks in the us.,Uncategorized
conversation_20_user_2,83e8ed5ea6eaee5e37349d24ef0b1c657bbaa2ef8e4aaa08655949fe6b9a7c9f,I am an environmental activist.,Personality_Traits
conversation_21_user_1,e43f26597a865bd084e06cb5b7e2975636f1e7bc7a0b95745fd3e41031be9b35,I am a man.,Demographics
conversation_21_user_1,e43f26597a865bd084e06cb5b7e2975636f1e7bc7a0b95745fd3e41031be9b35,I am not healthy.,Habits_Routines
conversation_21_user_1,e43f26597a865bd084e06cb5b7e2975636f1e7bc7a0b95745fd3e41031be9b35,I like the movie godfather.,Preferences_Interests
conversation_21_user_1,e43f26597a865bd084e06cb5b7e2975636f1e7bc7a0b95745fd3e41031be9b35,I weight 300 pounds.,Uncategorized
conversation_21_user_1,e43f26597a865bd084e06cb5b7e2975636f1e7bc7a0b95745fd3e41031be9b35,I like candy and soda.,Preferences_Interests
